Name,Code,Category
i,"
public static int isPairSum(int A[], int N, int X)
    {
        int i = 0;
        int j = N - 1;
 
        do {
            if (A[i] + A[j] == X) 
                return 1;
            else if (A[i] + A[j] < X)
                i++;
            else
                j--;
        } while (i < j);
        return 0;
    }
",loop_control
j,"
public static int isPairSum(int A[], int N, int X)
    {
        int i = 0;
        int j = N - 1;
 
        do {
            if (A[i] + A[j] == X) 
                return 1;
            else if (A[i] + A[j] < X)
                i++;
            else
                j--;
        } while (i < j);
        return 0;
    }
",loop_control
input,"
final public static void Authification(String input) {
    do {
        System.out.print(""Password? "");
        input = scanner.nextLine().trim();
    } while (!input.equals(VerySafeClass.PASSWORD));
}
",loop_control
number,"
public static void main(String[] args) {
      
    int sum = 0;
    int number = 0;

    Scanner input = new Scanner(System.in);
       
    do {
      sum += number;
      System.out.println(""Enter a number"");
      number = input.nextInt();
    } while(number >= 0); 
   
    System.out.println(""Sum = "" + sum);
    input.close();
  }
",loop_control
num,"
public static void RussianRoulette (String[] args) {
    Scanner input = new Scanner(System.in);
    Random rand = new Random();
    System.out.println(""Enter an integer between 0-9"");
    
    int num = input.nextInt();
    int randomNum = rand.nextInt(10);
    
    do{
        randomNum = rand.nextInt(10);
        System.out.println(""User: "" + num + "" : "" + ""Random number: "" + randomNum);
    } while (num != randomNum);
    
    return num;
}
",loop_control
i,"
    public static int isPairSum(int A[], int N, int X)
    {
        int i = 0;
        int j = N - 1;
 
        while (i < j) {
            if (A[i] + A[j] == X) 
                return 1;
            else if (A[i] + A[j] < X)
                i++;
            else
                j--;
        }
        return 0;
    }
",loop_control
i,"
void BFS(int n)
    {

        boolean nodes[] = new boolean[V];
        int a = 0;
 
        nodes[n]=true;                  
        queue.add(n);
 
        while (queue.size() != 0)
        {
            n = queue.poll();
            System.out.print(n+"" "");
 
            for (int i = 0; i < adj[n].size(); i++)  
            {
                a = adj[n].get(i);
                if (!nodes[a])
                {
                    nodes[a] = true;
                    queue.add(a);
                }
            }  
        }
    }
",loop_control
i,"
public static void main(String args[])  
{  
    int SIZE=10;  
    int i, j, N;  
    int[][] board = new int[SIZE][SIZE];  
    int left, top;  
    left = 0;  
    top = SIZE - 1;  
    N = 1;  
    for(i=1; i<=SIZE/2; i++, left++, top--)  
    {  
        for(j=left; j<=top; j++, N++)  
        {  
            board[left][j] = N;  
        }  
        for(j=left+1; j<=top; j++, N++)  
        {  
            board[j][top] = N;  
        }  
        for(j=top-1; j>=left; j--, N++)  
        {  
            board[top][j] = N;  
        }  
        for(j=top-1; j>=left+1; j--, N++)  
        {  
            board[j][left] = N;  
        }  
    }  
    for(i=0; i<SIZE; i++)  
    {  
        for(j=0; j<SIZE; j++)  
        {  
            System.out.printf(""%-5d"", board[i][j]);  
        }  
    System.out.printf(""
"");  
    }  
}  
",loop_control
j,"
public static void main(String args[])  
{  
    int SIZE=10;  
    int i, j, N;  
    int[][] board = new int[SIZE][SIZE];  
    int left, top;  
    left = 0;  
    top = SIZE - 1;  
    N = 1;  
    for(i=1; i<=SIZE/2; i++, left++, top--)  
    {  
        for(j=left; j<=top; j++, N++)  
        {  
            board[left][j] = N;  
        }  
        for(j=left+1; j<=top; j++, N++)  
        {  
            board[j][top] = N;  
        }  
        for(j=top-1; j>=left; j--, N++)  
        {  
            board[top][j] = N;  
        }  
        for(j=top-1; j>=left+1; j--, N++)  
        {  
            board[j][left] = N;  
        }  
    }  
    for(i=0; i<SIZE; i++)  
    {  
        for(j=0; j<SIZE; j++)  
        {  
            System.out.printf(""%-5d"", board[i][j]);  
        }  
    System.out.printf(""
"");  
    }  
}  
",loop_control
bufSize,"
  private static byte[] toByteArrayInternal(InputStream in, Queue<byte[]> bufs, int totalLen)
      throws IOException {
    int initialBufferSize = min(BUFFER_SIZE, max(128, Integer.highestOneBit(totalLen) * 2));
    
    for (int bufSize = initialBufferSize;
        totalLen < MAX_ARRAY_LEN;
        bufSize = IntMath.saturatedMultiply(bufSize, bufSize < 4096 ? 4 : 2)) {
      byte[] buf = new byte[min(bufSize, MAX_ARRAY_LEN - totalLen)];
      bufs.add(buf);
      int off = 0;
      while (off < buf.length) {
        // always OK to fill buf; its size plus the rest of bufs is never more than MAX_ARRAY_LEN
        int r = in.read(buf, off, buf.length - off);
        if (r == -1) {
          return combineBuffers(bufs, totalLen);
        }
        off += r;
        totalLen += r;
      }
    }

    if (in.read() == -1) {
      return combineBuffers(bufs, MAX_ARRAY_LEN);
    } else {
      throw new OutOfMemoryError(""input is too large to fit in a byte array"");
    }
  }
",loop_control
