Name,Code,Category
i,"for (int i = 0; i < 15; i++) {
            hotelRooms.add(new HostelRoom(new StandardRoom(i + 1, 2, RoomType.ECONOMY)));
        }",loop_control
i,"for (int i = 0; i < 15; i++) {
            hotelRooms.add(new ExpandableRoom(new StandardRoom(i + 16, 3, RoomType.LUX)));
        }",loop_control
i,"for (int i = 0; i < hotel.getStaff().size(); i++) {
            System.out.println(hotel.getStaff().get(i).getPersonalInformation().getName());
        }",loop_control
updatedW,"for (Staff updatedW : updatedStaff) {
                if (updatedW.getPersonalInformation().getId() == w.getPersonalInformation().getId()) {
                    return updatedW;
                }
            }",iterator
deletedW,"for (Staff deletedW : deletedStaff) {
                if (deletedW.getPersonalInformation().getId() == w.getPersonalInformation().getId()) {
                    return false;
                }
            }",iterator
currentStaff,"for (Staff currentStaff : staff) {
                if (currentStaff.getPersonalInformation().getId() == w.getPersonalInformation().getId()) {
                    return false;
                }
            }",iterator
updatedW,"for (Room updatedW : updatedRooms) {
                if (updatedW.getNumber() == w.getNumber()) {
                    return updatedW;
                }
            }",iterator
deletedW,"for (Room deletedW : deletedRooms) {
                if (deletedW.getNumber() == w.getNumber()) {
                    return false;
                }
            }",iterator
i,"for (int i = 0; i < access.getRooms().size(); i++) {
            currentRoom = access.getRooms().get(i);
            if (currentRoom.isOccupied()) {
                continue;
            }
            if (currentRoom.getSize() < peopleCount) {
                continue;
            }
            if (currentRoom.getType() != type) {
                continue;
            }
            currentRoom.checkIn(client, peopleCount);
            break;
        }",loop_control
i,"for (int i = 0; i < size; i++) {
                observables.add(Flowable.just(i));
            }",loop_control
i,"for (int i = 0; i < 1000; i++) {
            unbounded.onNext(1);
        }",loop_control
i,"for (int i = 0; i < 1000000; i++) {
            unbounded.onNext(1);
        }",loop_control
i,"for (int i = 0; i < 1000; i++) {
            bounded.onNext(1);
        }",loop_control
i,"for (int i = 0; i < 1000000; i++) {
            bounded.onNext(1);
        }",loop_control
i,"for (int i = 0; i < 1000; i++) {
            subject.onNext(1);
        }",loop_control
i,"for (int i = 0; i < 1000000; i++) {
            subject.onNext(1);
        }",loop_control
j,"for (int j = 0; j < 15; j++) {
            for (int i = 0; i < 600; i++) {
                o = p.flowable();
            }
            System.out.println(""--- "" + j);
        }",loop_control
i,"for (int i = 0; i < 600; i++) {
                o = p.flowable();
            }",loop_control
items,"{
                int c = count;
                while (items < c) { }
                return 1;
            }",loop_control
